Name,Image,Size,Weigh
Abo,Abo-RFVF.png,2.0,6.9
Abra,Abra-RFVF.png,0.9,19.5
Aflamanoir,Aflamanoir-NB.png,1.4,58.0
Akwakwak,Akwakwak-RFVF.png,1.7,76.6
Alakazam,Alakazam-RFVF.png,1.5,48.0
Amonistar,Amonistar-RFVF.png,1.0,35.0
Amonita,Amonita-RFVF.png,0.4,7.5
Angoliath,Angoliath-EB.png,1.5,61.0
Apireine,Apireine-DP.png,1.2,38.5
Apitrini,Apitrini-DP.png,0.3,5.5
Aquali,Aquali-RFVF.png,1.0,29.0
Araqua,Araqua-SL.png,0.3,4.0
Arbok,Arbok-RFVF.png,3.5,65.0
Arcanin,Arcanin-RFVF.png,1.9,155.0
Archéodong,Archéodong-DP.png,1.3,187.0
Archéomire,Archéomire-DP.png,0.5,60.5
Arrozard,Arrozard-EB.png,0.7,11.5
Artikodin,Artikodin-RFVF.png,1.7,55.4
Aspicot,Aspicot-RFVF.png,0.3,3.2
Astronelle,Astronelle-EB.png,0.4,40.8
Axoloto,Axoloto-HGSS.png,0.4,8.5
Aéromite,Aéromite-RFVF.png,1.5,12.5
Babimanta,Babimanta-DP.png,1.0,65.0
Badabouin,Badabouin-EB.png,0.7,14.0
Baggaïd,Baggaïd-NB.png,1.1,30.0
Baggiguane,Baggiguane-NB.png,0.6,11.8
Balbuto,Balbuto-RS.png,0.5,21.5
Banshitrouye,Banshitrouye-XY.png,-1.0,-1.0
Barbicha,Barbicha-RS.png,0.9,23.6
Bargantua,Bargantua_(Bleu)-NB.png,1.0,18.0
Barloche,Barloche-RS.png,0.4,1.9
Barpau,Barpau-RS.png,0.6,7.4
Batracné,Batracné-NB.png,0.8,17.0
Baudrive,Baudrive-DP.png,0.4,1.2
Bekaglaçon,Bekaglaçon_(Tête_de_Gel)-EB.png,1.4,89.0
Bekipan,Bekipan-RS.png,1.2,28.0
Beldeneige,Beldeneige-EB.png,1.3,42.0
Berserkatt,Berserkatt-EB.png,0.8,28.0
Bibichut,Bibichut-EB.png,0.4,3.4
Blancoton,Blancoton-EB.png,0.5,2.5
Bleuseille,Bleuseille-EB.png,0.8,16.0
Blizzaroi,Blizzaroi-DP.png,2.2,135.5
Blizzi,Blizzi-DP.png,1.0,50.5
Bombydou,Bombydou-SL.png,0.1,0.2
Boumata,Boumata-SL.png,2.0,212.0
Bourrinos,Bourrinos-SL.png,2.5,920.0
Boustiflor,Boustiflor-RFVF.png,1.0,6.4
Brocélôme,Brocélôme-XY.png,0.4,7.0
Brutalibré,Brutalibré-XY.png,0.8,21.5
Bruyverne,Bruyverne-XY.png,1.5,85.0
Bulbizarre,Bulbizarre-RFVF.png,0.7,6.9
Bébécaille,Bébécaille-SL.png,0.6,29.7
Bétochef,Bétochef-NB.png,1.4,87.0
Cadoizo,Cadoizo-HGSS.png,0.9,16.0
Canarticho,Canarticho-RFVF.png,0.8,15.0
Candine,Candine-SL.png,0.7,8.2
Caninos,Caninos-RFVF.png,0.7,19.0
Carabaffe,Carabaffe-RFVF.png,1.0,22.5
Carabing,Carabing-NB.png,0.5,5.9
Carapuce,Carapuce-RFVF.png,0.5,9.0
Caratroc,Caratroc-HGSS.png,0.6,20.5
Ceribou,Ceribou-DP.png,0.4,3.3
Ceriflor,Ceriflor_(Temps_Couvert)-DP.png,0.5,9.3
Chacripan,Chacripan-NB.png,0.4,10.1
Chapotus,Chapotus-EB.png,0.6,4.8
Charbi,Charbi-EB.png,0.3,12.0
Charibari,Charibari-EB.png,1.2,100.0
Charmilly,Charmilly-EB.png,0.3,0.5
