Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture
Bulbizarre,Plante,Poison,22,11,4,4,6,6,0
Herbizarre,Plante,Poison,30,15,6,6,8,8,0
Florizarre,Plante,Poison,40,20,8,8,10,10,0
Salamèche,Feu,Feu,19,16,5,4,6,5,0
Reptincel,Feu,Feu,29,20,6,5,8,6,0
Dracaufeu,Feu,Vol,39,25,8,7,10,8,0
Carapuce,Eau,Eau,22,10,4,6,5,6,0
Carabaffe,Eau,Eau,29,14,6,8,6,8,0
Tortank,Eau,Eau,39,19,8,10,8,10,0
Chenipan,Insecte,Insecte,22,11,3,3,2,2,5
Chrysacier,Insecte,Insecte,25,7,2,5,2,2,2
Papilusion,Insecte,Vol,30,17,4,5,9,8,0
Aspicot,Insecte,Poison,20,12,3,3,2,2,5
Coconfort,Insecte,Poison,22,8,2,5,2,2,2
Dardargnan,Insecte,Poison,32,18,8,4,4,8,0
Roucool,Normal,Vol,20,14,4,4,3,3,5
Roucoups,Normal,Vol,31,17,6,5,5,5,2
Roucarnage,Normal,Vol,41,22,8,7,7,7,0
Rattata,Normal,Normal,15,18,5,3,2,3,5
Rattatac,Normal,Normal,27,24,8,6,5,7,2
Piafabec,Normal,Vol,20,17,6,3,3,3,5
Rapasdepic,Normal,Vol,32,25,9,6,6,6,1
Abo,Poison,Poison,17,13,6,4,4,5,5
Arbok,Poison,Poison,30,20,8,6,6,7,1
Pikachu,Electrik,Electrik,17,22,5,3,5,4,3
Raichu,Electrik,Electrik,30,25,9,5,9,8,1
Sabelette,Sol,Sol,25,10,7,8,2,3,5
Sablaireau,Sol,Sol,37,16,10,11,4,5,1
Nidoran♀,Poison,Poison,27,10,4,5,4,4,4
Nidorina,Poison,Poison,35,14,6,6,5,5,2
Nidoqueen,Poison,Sol,45,19,8,8,7,8,0
Nidoran♂,Poison,Poison,23,12,5,4,4,4,4
Nidorino,Poison,Poison,30,16,7,5,5,5,2
Nidoking,Poison,Sol,40,21,9,7,8,7,0
Mélofée,Fee,Fee,35,8,4,4,6,6,3
Mélodelfe,Fee,Fee,47,15,7,7,8,9,0
Goupix,Feu,Feu,19,16,4,4,5,6,3
Feunard,Feu,Feu,36,25,7,7,8,10,1
Rondoudou,Fee,Normal,57,5,4,2,4,2,3
Grodoudou,Fee,Normal,70,11,7,4,7,5,1
Nosferapti,Poison,Vol,20,13,4,3,3,4,5
Nosferalto,Poison,Vol,37,22,8,7,6,7,1
Mystherbe,Plante,Poison,22,7,5,5,7,6,5
Ortide,Plante,Poison,30,10,6,7,8,7,2
Rafflesia,Plante,Poison,37,12,8,8,10,9,0
Paras,Insecte,Plante,17,6,7,5,4,5,3
Parasect,Insecte,Plante,30,7,9,8,6,8,1
Mimitoss,Insecte,Poison,30,11,5,5,4,5,3
Aéromite,Insecte,Poison,35,22,6,6,9,7,1
Taupiqueur,Sol,Sol,5,23,5,2,3,4,5
Triopikeur,Sol,Sol,17,30,10,5,5,7,1
Miaouss,Normal,Normal,20,22,4,3,4,4,5
Persian,Normal,Normal,32,28,7,6,6,6,1
Psykokwak,Eau,Eau,25,13,5,4,6,5,3
Akwakwak,Eau,Eau,40,21,8,7,9,8,1
Férosinge,Combat,Combat,20,17,8,3,3,4,3
Colossinge,Combat,Combat,32,23,10,6,6,7,1
Caninos,Feu,Feu,27,15,7,4,7,5,3
Arcanin,Feu,Feu,45,23,11,8,10,8,1
Ptitard,Eau,Eau,20,22,5,4,4,4,5
Têtarte,Eau,Eau,32,22,6,6,5,5,2
Tartard,Combat,Eau,45,17,9,9,7,9,0
Abra,Psy,Psy,12,22,2,1,10,5,4
Kadabra,Psy,Psy,20,26,3,3,12,7,2
Alakazam,Psy,Psy,27,30,5,4,13,9,1
Machoc,Combat,Combat,35,8,8,5,3,3,3
Machopeur,Combat,Combat,40,11,10,7,5,6,1
Mackogneur,Combat,Combat,45,13,13,8,6,8,0
Chétiflor,Plante,Poison,25,10,7,3,7,3,5
Boustiflor,Plante,Poison,32,13,9,5,8,4,2
Empiflor,Plante,Poison,40,17,10,6,10,7,0
Tentacool,Eau,Poison,20,17,4,3,5,10,3
Tentacruel,Eau,Poison,40,25,7,6,8,12,1
Racaillou,Roche,Sol,20,5,8,10,3,3,5
Gravalanch,Roche,Sol,27,8,9,11,4,4,2
Grolem,Roche,Sol,40,11,12,13,5,6,0
Ponyta,Feu,Feu,25,22,8,5,6,6,3
Galopa,Feu,Feu,32,26,10,7,8,8,1
Ramoloss,Eau,Psy,45,3,6,6,4,4,3
Flagadoss,Eau,Psy,47,7,7,11,10,8,1
Magnéti,Acier,Electrik,12,11,3,7,9,5,3
Magnéton,Acier,Electrik,25,17,6,9,12,7,1
Canarticho,Normal,Vol,26,15,9,5,5,6,0
Doduo,Normal,Vol,17,18,8,4,3,3,3
Dodrio,Normal,Vol,30,27,11,7,6,6,0
Otaria,Eau,Eau,32,11,4,5,4,7,3
Lamantine,Eau,Glace,45,17,7,8,7,9,1
Tadmorv,Poison,Poison,40,6,8,5,4,5,3
Grotadmorv,Poison,Poison,52,12,10,7,6,10,1
Kokiyas,Eau,Eau,15,10,6,10,4,2,3
Crustabri,Eau,Glace,25,17,9,18,8,4,1
Fantominus,Poison,Spectre,15,20,3,3,10,3,3
Spectrum,Poison,Spectre,22,23,5,4,11,5,1
Ectoplasma,Poison,Spectre,30,27,6,6,13,7,0
Onix,Roche,Sol,17,17,4,16,3,4,0
Soporifik,Psy,Psy,30,10,4,4,4,9,3
Hypnomade,Psy,Psy,42,16,7,7,7,11,1
Krabby,Eau,Eau,15,12,10,9,2,2,4
Krabboss,Eau,Eau,27,18,13,11,5,5,1
Voltorbe,Electrik,Electrik,20,25,3,5,5,5,3
Électrode,Electrik,Electrik,30,37,5,7,8,8,1
Noeunoeuf,Plante,Psy,30,10,4,8,6,4,1
Noadkoko,Plante,Psy,47,13,9,8,12,7,0
Osselait,Sol,Sol,25,8,5,9,4,5,3
Ossatueur,Sol,Sol,30,11,8,11,5,8,1
Kicklee,Combat,Combat,25,21,12,5,3,11,0
Tygnon,Combat,Combat,25,19,10,7,3,11,0
Excelangue,Normal,Normal,45,7,5,7,6,7,0
Smogo,Poison,Poison,20,8,6,9,6,4,3
Smogogo,Poison,Poison,32,15,9,12,8,7,1
Rhinocorne,Roche,Sol,40,6,8,9,3,3,2
Rhinoféros,Roche,Sol,52,10,13,12,4,4,1
Leveinard,Normal,Normal,125,12,0,0,3,10,0
Saquedeneu,Plante,Plante,32,15,5,11,10,4,0
Kangourex,Normal,Normal,52,22,9,8,4,8,0
