Name,Competence1,Competence2,Competence3,Competence4
Centrifugifle,Tenebres,Physique,60,100
Danse-Plume,Vol,Statut,-1,-1
Champ Psychique,Psy,Statut,-1,-1
Stimulant,Normal,Physique,60,100
Draco-Choc,Dragon,Special,85,100
Don Naturel,Normal,Physique,-1,100
Détrempage,Eau,Statut,-1,-1
Gaz Toxik,Poison,Statut,-1,90
Malédiction,Spectre,Statut,-1,-1
Vent Mauvais,Spectre,Special,60,100
Croque Fort,Tenebres,Physique,80,100
Puis. Cachée,Normal,Special,60,100
Halloween,Spectre,Statut,-1,100
Strido-Son,Acier,Statut,-1,85
Rafale Psy,Psy,Special,65,100
Casse-Brique,Combat,Physique,75,100
Projecteur,Normal,Statut,-1,-1
Mimique,Vol,Statut,-1,-1
Piège de Venin,Poison,Statut,-1,100
Bombe Beurk,Poison,Special,90,100
Lame Solaire,Plante,Physique,125,100
Entrave,Normal,Statut,-1,100
Écho (capacité),Normal,Special,40,100
Fulmifer,Acier,Physique,-1,100
Anti-Brume,Vol,Statut,-1,-1
Poing-Éclair,Electrik,Physique,75,100
Double Baffe,Dragon,Physique,40,90
Draco-Rage,Dragon,Special,-1,100
Vole-Vie,Plante,Special,20,100
Interversion,Psy,Statut,-1,-1
Blabladodo,Normal,Statut,-1,-1
Essorage,Normal,Special,-1,100
Punition,Tenebres,Physique,-1,100
Tempête de Sable,Roche,Statut,-1,-1
Soucigraine,Plante,Statut,-1,100
Racines,Plante,Statut,-1,-1
Rancune,Spectre,Statut,-1,-1
Tourmagik,Psy,Statut,-1,100
Avale,Normal,Statut,-1,-1
Recyclage,Normal,Statut,-1,-1
Frappe Atlas,Combat,Physique,-1,100
Souvenir,Tenebres,Statut,-1,100
Ballon Brûlant,Feu,Physique,120,90
Éclair Fou,Electrik,Physique,90,100
Psyko,Psy,Special,90,100
Enroulement,Poison,Statut,-1,-1
Abri,Normal,Statut,-1,-1
Pika-Piqué,Vol,Physique,90,95
Change Éclair,Electrik,Special,70,100
Rengorgement,Normal,Statut,-1,-1
Plaie-Croix,Insecte,Physique,80,100
Psykoud&#39;Boul,Psy,Physique,80,90
