Name,Competence1,Competence2,Competence3,Competence4
Ouistempo,Griffe,Rugissement,Plante,Plante
Badabouin,Coup Double,Griffe,Plante,Plante
Gorythmic,Tambour Battant,Coup Double,Plante,Plante
Flambino,Charge,Rugissement,Feu,Feu
Lapyro,Charge,Rugissement,Feu,Feu
Pyrobut,Ballon Brûlant,Ruse,Feu,Feu
Larméléon,Écras&#39;Face,Rugissement,Eau,Eau
Arrozard,Charge,Rugissement,Eau,Eau
Lézargus,Tir de Précision,Acrobatie,Eau,Eau
Larvadar,Survinsecte,Ultrason,Insecte,Insecte
Coléodôme,Survinsecte,Mur Lumière,Insecte,Psy
Astronelle,Survinsecte,Mur Lumière,Insecte,Psy
Chenipan,Charge,Sécrétion,Insecte,Insecte
Chrysacier,Armure,Toile Élek,Insecte,Insecte
Papilusion,Tornade,Choc Mental,Insecte,Vol
Larvibule,Force Poigne,Sécrétion,Insecte,Insecte
Chrysapile,Chargeur,Force Poigne,Insecte,Électrik
Lucanon,Tonnerre,Lame d&#39;Air,Insecte,Électrik
Hoothoot,Charge,Rugissement,Normal,Vol
Noarfang,Dévorêve,Piqué,Normal,Vol
Minisange,Picpic,Groz&#39;Yeux,Vol,Vol
Bleuseille,Picpic,Groz&#39;Yeux,Vol,Vol
Corvaillus,Strido-Son,Mur de Fer,Acier,Vol
Rongourmand,Charge,Mimi-Queue,Normal,Normal
Rongrigou,Implore,Charge,Normal,Normal
Poichigeon,Tornade,Rugissement,Normal,Vol
Colombeau,Tornade,Rugissement,Normal,Vol
Déflaisan,Tornade,Rugissement,Normal,Vol
Goupilou,Vive-Attaque,Mimi-Queue,Ténèbres,Ténèbres
Roublenard,Larcin,Vive-Attaque,Ténèbres,Ténèbres
Zigzaton,Charge,Rugissement,Normal,Normal
Linéon,Câlinerie,Fertilisation,Normal,Normal
Ixon,Blocage (capacité),Coup-Croix,Normal,Ténèbres
Moumouton,Charge,Rugissement,Normal,Normal
Moumouflon,Charge,Rugissement,Normal,Normal
Nénupiot,Étonnement,Rugissement,Eau,Plante
Lombre,Étonnement,Rugissement,Eau,Plante
Ludicolo,Étonnement,Rugissement,Eau,Plante
Grainipiot,Patience,Armure,Plante,Plante
